product_id,variant_sku,product_name,description,brand,category,retail_price,discounted_price,product_url,image_url
PROD-001,SKU-001-RED-S,Classic Cotton T-Shirt,"A timeless classic, this 100% cotton t-shirt offers a soft feel and a comfortable fit. Perfect for everyday wear.",Gemini Apparel,Clothing,25.00,19.99,/products/classic-tee,/images/tee_red.jpg
PROD-001,SKU-001-RED-M,Classic Cotton T-Shirt,"A timeless classic, this 100% cotton t-shirt offers a soft feel and a comfortable fit. Perfect for everyday wear.",Gemini Apparel,Clothing,25.00,19.99,/products/classic-tee,/images/tee_red.jpg
PROD-001,SKU-001-BLU-M,Classic Cotton T-Shirt,"A timeless classic, this 100% cotton t-shirt offers a soft feel and a comfortable fit. Perfect for everyday wear.",Gemini Apparel,Clothing,25.00,19.99,/products/classic-tee,/images/tee_blue.jpg
PROD-001,SKU-001-BLK-L,Classic Cotton T-Shirt,"A timeless classic, this 100% cotton t-shirt offers a soft feel and a comfortable fit. Perfect for everyday wear.",Gemini Apparel,Clothing,25.00,21.50,/products/classic-tee,/images/tee_black.jpg
PROD-002,SKU-002-BLK,Noise-Cancelling Headphones,"Immerse yourself in sound with these high-fidelity headphones featuring active noise cancellation and a 20-hour battery life.",Gemini Electronics,Electronics,150.00,129.99,/products/headphones-pro,/images/headphones_black.jpg
PROD-002,SKU-002-WHT,Noise-Cancelling Headphones,"Immerse yourself in sound with these high-fidelity headphones featuring active noise cancellation and a 20-hour battery life.",Gemini Electronics,Electronics,150.00,129.99,/products/headphones-pro,/images/headphones_white.jpg
PROD-003,SKU-003-GRY,Ergonomic Office Chair,"Designed for comfort, this ergonomic chair provides lumbar support and is fully adjustable. Ideal for your home office.",Gemini Home,Furniture,350.00,299.00,/products/office-chair,/images/chair_grey.jpg
PROD-004,SKU-004-11,Pro-Grade Soccer Ball,"Official size 5 soccer ball, designed for optimal performance and durability on the field.",Gemini Sports,Sports & Outdoors,45.00,39.99,/products/soccer-ball,/images/soccer_ball.jpg
PROD-005,SKU-005-ESP,Artisan Espresso Blend,"A rich and aromatic blend of Arabica beans from South America. Perfect for a morning espresso.",Gemini Coffee,Groceries,18.00,15.99,/products/espresso-blend,/images/coffee_beans.jpg
PROD-005,SKU-005-FRN,Artisan French Roast,"A bold and dark roast with notes of chocolate and hazelnut. A classic French roast experience.",Gemini Coffee,Groceries,18.00,15.99,/products/french-roast,/images/coffee_beans_dark.jpg
PROD-006,SKU-006-SNY,"The Silent Forest","A thrilling mystery novel by acclaimed author Jane Doe. A perfect read for a rainy day.",Gemini Books,Books,22.00,18.99,/products/silent-forest,/images/book_silent_forest.jpg
PROD-007,SKU-007-BLU,Yoga Mat (6mm),"High-density, non-slip yoga mat provides comfort and stability for your practice. Easy to clean and carry.",Gemini Wellness,Sports & Outdoors,35.00,29.99,/products/yoga-mat,/images/yoga_mat_blue.jpg
PROD-007,SKU-007-PPL,Yoga Mat (6mm),"High-density, non-slip yoga mat provides comfort and stability for your practice. Easy to clean and carry.",Gemini Wellness,Sports & Outdoors,35.00,29.99,/products/yoga-mat,/images/yoga_mat_purple.jpg
PROD-008,SKU-008-STL,Stainless Steel Water Bottle,"Keep your drinks cold for 24 hours or hot for 12. 32oz capacity, BPA-free.",Gemini Active,Accessories,30.00,24.99,/products/water-bottle,/images/bottle_steel.jpg
PROD-009,SKU-009-CHR,Smart Home Hub,"Control all your smart devices from one central hub. Compatible with Alexa, Google Assistant, and more.",Gemini SmartHome,Electronics,99.00,89.00,/products/smart-hub,/images/smart_hub.jpg
PROD-010,SKU-010-L,Men's Running Shorts,"Lightweight and breathable running shorts with a built-in liner for comfort and support.",Gemini Apparel,Clothing,40.00,34.99,/products/running-shorts-men,/images/shorts_men_black.jpg
PROD-010,SKU-010-M,Men's Running Shorts,"Lightweight and breathable running shorts with a built-in liner for comfort and support.",Gemini Apparel,Clothing,40.00,34.99,/products/running-shorts-men,/images/shorts_men_black.jpg
PROD-011,SKU-011-M,Women's Running Leggings,"High-waisted and squat-proof, these leggings are perfect for your next workout.",Gemini Apparel,Clothing,60.00,54.99,/products/leggings-women,/images/leggings_women_black.jpg
PROD-011,SKU-011-S,Women's Running Leggings,"High-waisted and squat-proof, these leggings are perfect for your next workout.",Gemini Apparel,Clothing,60.00,54.99,/products/leggings-women,/images/leggings_women_black.jpg
PROD-012,SKU-012-GLD,10-Inch Digital Photo Frame,"Display your favorite memories with this crisp, high-resolution digital photo frame. Supports USB and SD cards.",Gemini Electronics,Electronics,80.00,69.99,/products/photo-frame,/images/photo_frame.jpg
PROD-013,SKU-013-VAN,Organic Vanilla Protein Powder,"25g of plant-based protein per serving. Smooth vanilla flavor, mixes easily.",Gemini Wellness,Groceries,45.00,39.99,/products/protein-vanilla,/images/protein_vanilla.jpg
PROD-013,SKU-013-CHC,Organic Chocolate Protein Powder,"25g of plant-based protein per serving. Rich chocolate flavor, mixes easily.",Gemini Wellness,Groceries,45.00,39.99,/products/protein-chocolate,/images/protein_chocolate.jpg
PROD-014,SKU-014-SET,Ceramic Dinnerware Set,"A 16-piece set for four, including dinner plates, salad plates, bowls, and mugs. Dishwasher safe.",Gemini Home,Home Goods,120.00,99.99,/products/dinnerware-set,/images/dinnerware.jpg
PROD-015,SKU-015-BLK,Portable Bluetooth Speaker,"Compact yet powerful, this speaker delivers 10 hours of playtime and is waterproof (IPX7).",Gemini Electronics,Electronics,50.00,44.99,/products/bluetooth-speaker,/images/speaker_black.jpg
PROD-015,SKU-015-BLU,Portable Bluetooth Speaker,"Compact yet powerful, this speaker delivers 10 hours of playtime and is waterproof (IPX7).",Gemini Electronics,Electronics,50.00,44.99,/products/bluetooth-speaker,/images/speaker_blue.jpg
PROD-016,SKU-016-NAT,Bamboo Cutting Board Set,"A set of three durable and eco-friendly bamboo cutting boards in various sizes.",Gemini Home,Home Goods,28.00,22.50,/products/cutting-boards,/images/cutting_boards.jpg
PROD-017,SKU-017-GRN,Herbal Green Tea,"A refreshing and calming blend of organic green tea with hints of mint and lemongrass. 50 tea bags.",Gemini Tea,Groceries,12.00,9.99,/products/green-tea,/images/green_tea.jpg
PROD-018,SKU-018-BLK,Gaming Mouse,"High-precision gaming mouse with customizable RGB lighting and 6 programmable buttons.",Gemini Gaming,Electronics,60.00,49.99,/products/gaming-mouse,/images/mouse_gaming.jpg
PROD-019,SKU-019-GRY,Travel Backpack,"A versatile and durable backpack with a padded laptop compartment and multiple pockets. 40L capacity.",Gemini Active,Accessories,90.00,79.99,/products/travel-backpack,/images/backpack_grey.jpg
PROD-020,SKU-020-S,Silk Sleep Mask,"Block out light for a better night's sleep with this luxurious and soft 100% silk sleep mask.",Gemini Wellness,Accessories,20.00,17.50,/products/sleep-mask,/images/sleep_mask.jpg
PROD-021,SKU-021-WHT,Smart WiFi Plug,"Turn any appliance into a smart device. Control it from your phone with the Gemini SmartHome app.",Gemini SmartHome,Electronics,15.00,12.99,/products/smart-plug,/images/smart_plug.jpg
PROD-021,SKU-021-WHT-2PK,Smart WiFi Plug (2-Pack),"Turn any appliance into a smart device. Control it from your phone with the Gemini SmartHome app.",Gemini SmartHome,Electronics,28.00,24.99,/products/smart-plug-2pack,/images/smart_plug_2.jpg
PROD-022,SKU-022-KING,Down Alternative Comforter,"A hypoallergenic, all-season comforter with a soft microfiber cover. King size.",Gemini Home,Home Goods,110.00,95.00,/products/comforter-king,/images/comforter.jpg
PROD-022,SKU-022-QUEEN,Down Alternative Comforter,"A hypoallergenic, all-season comforter with a soft microfiber cover. Queen size.",Gemini Home,Home Goods,100.00,85.00,/products/comforter-queen,/images/comforter.jpg
PROD-023,SKU-023-12,Resistance Bands Set,"Set of 5 resistance bands with varying levels of tension. Perfect for home workouts and physical therapy.",Gemini Active,Sports & Outdoors,25.00,19.99,/products/resistance-bands,/images/bands.jpg
PROD-024,SKU-024-BLK,Mechanical Keyboard,"A tactile and responsive mechanical keyboard with brown switches, ideal for typing and gaming.",Gemini Gaming,Electronics,130.00,110.00,/products/keyboard-mech,/images/keyboard.jpg
PROD-025,SKU-025-SLV,Electric Kettle,"1.7L stainless steel electric kettle with auto shut-off and boil-dry protection.",Gemini Home,Home Goods,45.00,39.99,/products/electric-kettle,/images/kettle.jpg
PROD-026,SKU-026-LAV,Aromatherapy Essential Oil Diffuser,"Ultrasonic diffuser that creates a fine mist, with 7 ambient light settings and a timer.",Gemini Wellness,Home Goods,40.00,35.00,/products/oil-diffuser,/images/diffuser.jpg
PROD-027,SKU-027-BLK,Webcam 1080p,"Full HD 1080p webcam with a built-in microphone, perfect for video conferencing and streaming.",Gemini Electronics,Electronics,55.00,48.50,/products/webcam-1080p,/images/webcam.jpg
PROD-028,SKU-028-OAT,Organic Old Fashioned Rolled Oats,"100% whole grain rolled oats. A healthy and hearty start to your day. 32oz bag.",Gemini Foods,Groceries,8.00,6.99,/products/oats,/images/oats.jpg
PROD-029,SKU-029-BMB,Toddler Bamboo Plate Set,"Eco-friendly and non-toxic bamboo plate and utensil set for toddlers, with a suction base.",Gemini Kids,Baby,22.00,19.99,/products/toddler-plate,/images/toddler_plate.jpg
PROD-030,SKU-030-PLN,Hardcover Notebook,"A5 hardcover notebook with 120 gsm paper, perfect for journaling and note-taking.",Gemini Stationery,Office,18.00,15.00,/products/notebook-hardcover,/images/notebook.jpg
PROD-030,SKU-030-DOT,Hardcover Notebook (Dotted),"A5 hardcover notebook with 120 gsm dotted paper, perfect for bullet journaling.",Gemini Stationery,Office,18.00,15.00,/products/notebook-dotted,/images/notebook_dotted.jpg
PROD-031,SKU-031-CRM,Vitamin C Serum,"A potent antioxidant serum that brightens skin, reduces fine lines, and promotes a healthy glow.",Gemini Skincare,Beauty,35.00,29.99,/products/vitamin-c-serum,/images/serum.jpg
PROD-032,SKU-032-BLK,Insulated Tumbler (20oz),"A 20oz stainless steel tumbler that keeps drinks at the perfect temperature for hours.",Gemini Active,Accessories,25.00,22.00,/products/tumbler-20oz,/images/tumbler.jpg
PROD-033,SKU-033-DGR,Pet Grooming Gloves,"Gently de-shed and massage your pet with these flexible grooming gloves.",Gemini Pets,Pet Supplies,16.00,13.99,/products/pet-gloves,/images/pet_gloves.jpg
PROD-034,SKU-034-WHT,Digital Kitchen Scale,"Precise digital scale for cooking and baking, with a tare function and multiple units of measurement.",Gemini Home,Home Goods,20.00,18.00,/products/kitchen-scale,/images/scale.jpg
PROD-035,SKU-035-CLR,Glass Food Storage Containers,"Set of 5 glass containers with airtight lids. Microwave, oven, and dishwasher safe.",Gemini Home,Home Goods,40.00,34.99,/products/glass-containers,/images/containers.jpg
PROD-036,SKU-036-BLK,Car Phone Mount,"A sturdy and adjustable car phone mount that clips onto your air vent for easy navigation.",Gemini Auto,Automotive,18.00,14.99,/products/car-mount,/images/car_mount.jpg
PROD-037,SKU-037-ALM,Organic Raw Almonds,"A healthy and delicious snack, these raw almonds are unsalted and full of nutrients. 1lb bag.",Gemini Foods,Groceries,14.00,12.50,/products/almonds,/images/almonds.jpg
PROD-038,SKU-038-CHR,Wireless Charging Pad,"Fast wireless charging for your compatible smartphone. Sleek and minimalist design.",Gemini Electronics,Electronics,30.00,25.00,/products/wireless-charger,/images/charger.jpg
PROD-039,SKU-039-S,Dog Bed (Small),"A comfortable and orthopedic dog bed for small breeds, with a removable, washable cover.",Gemini Pets,Pet Supplies,50.00,45.00,/products/dog-bed-small,/images/dog_bed_sm.jpg
PROD-039,SKU-039-M,Dog Bed (Medium),"A comfortable and orthopedic dog bed for medium breeds, with a removable, washable cover.",Gemini Pets,Pet Supplies,65.00,58.00,/products/dog-bed-medium,/images/dog_bed_md.jpg
PROD-040,SKU-040-SET,Gardening Tool Set,"A 3-piece gardening set including a trowel, transplanter, and cultivator. Ergonomic handles.",Gemini Garden,Gardening,25.00,21.99,/products/gardening-tools,/images/gardening_tools.jpg
PROD-041,SKU-041-BLU,Silk Pillowcase,"A 100% mulberry silk pillowcase that is gentle on your skin and hair. Standard size.",Gemini Home,Home Goods,45.00,39.99,/products/silk-pillowcase,/images/pillowcase.jpg
PROD-042,SKU-042-BLK,Compact Umbrella,"A windproof and compact travel umbrella with an automatic open/close mechanism.",Gemini Active,Accessories,22.00,19.00,/products/umbrella,/images/umbrella.jpg
PROD-043,SKU-043-SET,Cocktail Shaker Set,"A complete bartender kit for crafting professional-level cocktails at home.",Gemini Bar,Home Goods,50.00,44.50,/products/cocktail-set,/images/cocktail_set.jpg
PROD-044,SKU-044-WHT,Whiteboard (24x36),"A magnetic whiteboard with a smooth writing surface, perfect for offices and classrooms.",Gemini Stationery,Office,60.00,55.00,/products/whiteboard,/images/whiteboard.jpg
PROD-045,SKU-045-128,USB 3.0 Flash Drive (128GB),"A reliable and high-speed flash drive for storing and transferring your files.",Gemini Electronics,Electronics,20.00,15.99,/products/usb-drive-128gb,/images/usb_drive.jpg
PROD-046,SKU-046-CRM,Sunscreen SPF 50,"A broad-spectrum SPF 50 sunscreen that is lightweight, non-greasy, and water-resistant.",Gemini Skincare,Beauty,18.00,16.00,/products/sunscreen-spf50,/images/sunscreen.jpg
PROD-047,SKU-047-GRY,Wool Throw Blanket,"A cozy and warm wool blanket, perfect for cuddling on the couch. 50x60 inches.",Gemini Home,Home Goods,90.00,79.00,/products/wool-blanket,/images/blanket.jpg
PROD-048,SKU-048-BLK,Laptop Stand,"An adjustable and ergonomic laptop stand to improve your posture and workspace setup.",Gemini Home,Accessories,35.00,29.50,/products/laptop-stand,/images/laptop_stand.jpg
PROD-049,SKU-049-SET,Chess Set,"A high-quality wooden chess set with weighted pieces and a foldable board.",Gemini Games,Toys & Games,55.00,49.99,/products/chess-set,/images/chess.jpg
PROD-050,SKU-050-BLU,Microfiber Towel Set,"A set of 2 quick-dry and absorbent microfiber towels, ideal for travel and sports.",Gemini Active,Sports & Outdoors,30.00,25.00,/products/microfiber-towels,/images/towels.jpg
